361236181,785266
77842299,959760
565813798,819829
281103148,660951
958159743,567031
59437131,637359
77241045,701501
432715620,842232
952206171,65191
275591963,814143
98517348,316468
946456386,597442
31402424,920037
506854030,920037
363887812,421676
868337462,375809
637411490,616042
309970919,959760
497632089,251871
745657477,248553
267618576,369152
861354657,321617
577539847,637907
992624044,245633
100464489,592853
767633186,834691
678401689,746767
910834098,603083
17033082,108345
790527717,826881
595878244,845724
670938002,575202
862499730,672764
726016071,114570
491575357,969797
303359536,954843
129035873,310618
581684941,110604
514142828,76839
100464489,593974
62755343,871846
881178050,92572
872960296,617308
352957309,912891
82635267,168444
553757713,159736
759883982,662672
202709169,861348
815807732,640874
818150782,77596
584156149,223287
255908614,127215
115000598,950376
936019629,242462
307664992,540546
183464889,947745
249638026,733628
390900597,628519
445453147,777806
684539802,57686
461679201,931063
973862186,817449
152732014,540546
825838807,627991
406706209,954843
696028754,278681
946456386,32134
198243503,278794
262308638,744175
348834180,775587
97684010,957863
148612178,75530
259975874,618718
913390289,686413
58703195,508494
932209406,600693
822390573,273343
637411490,445770
140271877,75530
745497378,690783
252546942,659727
121748805,58804
593772490,169536
426170532,513108
626412895,957860
593052673,640345
293026843,626932
164843330,563063
876341658,342023
476166187,587514
190367515,714528
440222168,615199
242009019,834691
198545516,623631
984855937,938945
111201217,842232
57723286,902546
435954136,951124
772891459,692420
387241661,130038
634197410,235580
905825088,217910
696306138,396773
155992807,13782
25568400,852207
471813193,830184
592934900,788240
325278337,41023
52316960,692420
290053458,44167
82635267,171724
181703661,792664
323390058,62700
790527717,934399
714936248,39173
862499730,60905
534150716,913117
190367515,631619
82635267,509181
77211036,532656
939344923,662582
642936329,165654
973862186,677695
789809998,445770
29721286,278339
147320098,449262
371690260,348863
736420681,439354
47780760,437237
254593659,196304
452673933,189884
915321259,693269
866417785,849148
249575853,337773
324878564,156678
679698120,127215
937523358,463508
807717324,675003
908587664,429658
499155662,342023
108398668,637359
140271877,78637
341468747,699426
778134180,765875
966741373,792413
121748805,284548
439112859,912891
953805976,303730
356481671,670795
205443768,938211
415636635,816902
637547508,423609
843413615,220395
965846864,855167
990321605,173624
378974662,5994
980082848,241716
965810030,45175
79325241,724925
377330953,757749
